item,CFeature0,CFeature1,CFeature2,CFeature3,CFeature4,CFeature5,CFeature6,CFeature7,CFeature8,CFeature9,CFeature10,CFeature11,CFeature12,CFeature13,CFeature14,CFeature15
OS0101EN,-0.016411642,0.030134033,0.2052071,-0.052670702,-0.020894988,-0.14624387,0.05370594,0.03455186,0.047885936,-0.14355247,-0.038986754,0.01911939,-0.106678106,-0.09783646,0.037670966,0.32336313
BD0153EN,0.0002119475,-0.14068253,0.017340397,0.06390664,0.061694495,-0.0996773,0.0075953156,-0.034985945,0.0077511673,0.07889298,-0.07225941,0.054977816,0.031931143,0.02782801,-0.08557097,-0.0045464304
WA0103EN,0.038599875,0.077060774,0.16329408,-0.018015457,-0.38027412,0.10094721,-0.16439986,0.05902239,-0.146471,-0.06695496,0.10251023,0.0175712,0.019336678,-0.024582893,0.044783443,-0.049489163
DP0101EN,-0.05952174,0.043487485,-0.051250163,-0.1450296,0.20544752,0.08721286,0.0082212575,-0.21696168,-0.2413037,0.08114574,0.13717388,0.0034195827,-0.010583982,0.005965612,-0.084139496,-0.066760525
TMP0106,0.09941744,0.071767345,0.020027637,0.00096967496,0.111362554,-0.026617331,-0.23005009,-0.1302416,-0.19757222,-0.07366064,0.13311687,-0.17238237,0.027903942,-0.007299428,-0.13162728,0.039716557
CB0201EN,0.20929146,0.06603523,0.1939998,0.12750351,0.11264338,-0.021870995,-0.00025780807,0.29238048,-0.08242499,0.024075288,0.15496936,-0.18916354,-0.018434051,0.02662078,-0.11458736,0.06781235
GPXX0T0FEN,0.13431756,-0.09335076,0.09215689,-0.077085756,-0.09390442,-0.111481644,-0.049069177,-0.13086726,-0.041466903,0.19000883,-0.29831612,-0.011839465,0.16017176,-0.05398427,0.15829074,-0.07862269
DB0111EN,0.09433756,-0.09574412,-0.05986201,-0.12743431,-0.06030123,-0.11179337,0.0966213,0.29483414,0.31287715,-0.055267897,0.13045344,0.09399327,0.19101132,-0.19121654,-0.07487054,-0.16265456
PHPM002EN,0.043117587,0.013883512,-0.1244684,-0.040401537,-0.1004235,0.21914573,0.056492142,-0.13855554,0.08362358,0.04846729,-0.08427249,-0.0030735894,0.018505407,-0.20372944,-0.054976854,0.14466885
TMP107,-0.02760186,0.091674365,0.06620971,0.061946947,0.07070437,0.07124842,-0.01875214,-0.057409365,0.27078936,-0.03396866,0.06513477,0.115884274,-0.10930137,0.1776338,-0.11101741,-0.027567815
DA0201EN,0.09424316,0.2403799,0.12952588,0.09182895,0.035945065,0.24095298,-0.029852275,-0.22503899,0.095005676,-0.13594927,0.13345918,-0.0137919085,-0.189517,0.18225352,-0.12090999,0.038444344
ST0201EN,0.040599402,0.22296815,0.108228624,-0.06619554,0.09280092,0.06842926,-0.09143125,-0.08144648,-0.027828425,-0.07486762,0.10601122,0.098852605,-0.18610835,0.08826705,-0.10655624,-0.1572793
DX0106EN,-0.08888271,0.21489136,-0.08799135,0.08845033,0.09195615,0.09302401,-0.09154885,-0.09373124,0.081700265,0.07018636,0.09298026,0.091889605,0.08840812,-0.08122419,0.075437486,-0.08714111
CC0271EN,-0.019495232,-0.031870395,0.137424,-0.11178597,0.21363021,0.121099494,-0.25393814,0.03274705,-0.154967,0.061479766,0.020449596,-0.1776739,0.002665793,-0.16119392,0.14348884,-0.075388685
DX0107EN,-0.021511912,-0.01908149,0.011691025,-0.07281134,0.026046032,-0.08056428,0.025431009,0.14446418,-0.07545753,-0.10772743,-0.19542906,-0.04350563,-0.07060716,0.05553155,-0.28414467,0.18244644
BENTEST4,-1.7464258e-30,7.2801906e-31,-1.2881288e-30,1.4119977e-30,1.670021e-30,8.156306e-31,1.4564441e-30,1.9793657e-30,8.198048e-31,1.5660162e-30,-1.7387337e-30,-8.169709e-31,1.3995812e-30,1.6034965e-30,-1.5930318e-30,-6.424718e-31
PA0107EN,0.14444691,-0.0089333765,0.15715462,0.17393304,-0.21302825,-0.03308666,0.14302787,0.04771143,0.24997099,0.040694993,0.24267556,0.106902964,-0.18789065,0.0035132682,0.04162053,-0.0029944028
PA0103EN,-0.12173313,-0.01864487,0.14218152,0.22259238,-0.11726586,0.0708289,0.19988471,-0.21388668,-0.1374272,0.12780014,0.0020039694,0.060620163,0.14361118,0.018387021,-0.060656946,-0.15457049
DA0151EN,0.12918259,0.06723274,0.027451565,-0.13231328,0.02366846,0.20863797,0.054813538,-0.019974586,0.1348124,-0.09538954,0.07193918,0.033416834,0.011895231,-0.10226278,-0.14182666,-0.067554064
ST0301EN,0.09773256,0.18203487,0.17731667,-0.16869977,0.18036696,0.12795185,-0.13172865,-0.11420083,-0.004976833,-0.018599993,0.16577925,0.118610874,-0.1801908,0.1252116,-0.14148726,-0.15100817
